Tipo;Colonia;Habitaciones;Garages;Suites;Area;Valor;Condominio;Impuesto
Departamento;Centro Histórico;1;0;0;15;2800.0;1365.0;70.0
Departamento;Del Valle;1;0;0;48;2800.0;805.0;0.0
Departamento;Condesa;1;0;1;40;7000.0;1963.5;175.0
Departamento;Condesa;4;3;1;243;45500.0;7000.0;2810.5
Departamento;Santa Fe;2;1;1;67;5950.0;2061.5;514.5
Departamento;Narvarte;2;1;0;110;6650.0;2450.0;483.0
Departamento;Narvarte;2;1;0;78;7000.0;2450.0;0.0
Departamento;Coyoacán;3;1;1;125;24500.0;7350.0;1620.5
Departamento;Narvarte;1;0;0;48;2625.0;2702.0;87.5
Departamento;Santa Fe;3;3;1;175;14700.0;5250.0;1750.0
Departamento;Roma;2;1;0;76;8750.0;2590.0;0.0
Departamento;Condesa;3;1;2;378;35000.0;7525.0;2450.0
Departamento;Condesa;3;0;0;180;19250.0;6230.0;1470.0
Departamento;Lomas de Chapultepec;3;1;0;110;13650.0;5250.0;420.0
Departamento;Santa Fe;3;1;2;70;6300.0;3832.5;490.0
Departamento;Condesa;4;1;0;244;17500.0;8750.0;14350.0
Departamento;Santa Fe;3;2;1;110;15750.0;7000.0;1575.0
Departamento;Santa Fe;3;1;1;72;8225.0;2100.0;245.0
Departamento;San Pedro de los Pinos;2;2;1;180;14000.0;8750.0;1050.0
Departamento;Centro Histórico;1;0;0;27;2625.0;1298.5;66.5
Departamento;Coyoacán;1;0;0;35;7000.0;2275.0;262.5
Departamento;Coyoacán;1;0;0;38;4900.0;1855.0;269.5
Departamento;Santa Fe;4;3;3;153;22750.0;8050.0;1519.0
Departamento;Coyoacán;3;1;0;87;11200.0;4567.5;759.5
Departamento;Roma;3;1;1;108;20825.0;4917.5;1011.5
Departamento;Coyoacán;3;2;1;150;28000.0;8400.0;0.0
Departamento;Coyoacán;3;1;1;140;27650.0;10150.0;1750.0
Departamento;Polanco;2;2;0;95;14000.0;4095.0;0.0
Departamento;Lomas de Chapultepec;2;1;1;80;12250.0;3465.0;857.5
Departamento;Santa Fe;4;4;4;240;44450.0;15400.0;5040.0
Departamento;Santa Fe;3;2;1;104;9100.0;4774.0;1421.0
Departamento;San Ángel;2;1;0;70;9800.0;2380.0;343.0
Departamento;Santa Fe;2;1;1;88;9450.0;4550.0;7147.0
Departamento;Centro Histórico;1;1;0;37;3850.0;1890.0;3150.0
Departamento;San Jerónimo;3;4;0;130;19250.0;4924.5;861.0
Departamento;Santa Fe;3;2;2;85;8750.0;4900.0;665.0
Departamento;Del Valle;2;1;0;54;8050.0;2037.0;0.0
Departamento;Coyoacán;3;1;1;120;24500.0;6300.0;1295.0
Departamento;Santa Fe;2;1;1;78;9625.0;4550.0;483.0
Departamento;San Pedro de los Pinos;2;1;0;86;14000.0;4406.5;658.0
Departamento;Santa Fe;1;1;1;70;5950.0;3045.0;500.5
Departamento;Narvarte;2;1;0;80;6300.0;3850.0;294.0
Departamento;Narvarte;3;1;0;172;9450.0;2730.0;595.0
Departamento;Coyoacán;3;1;1;145;28000.0;51688.0;15379.0
Departamento;Roma;2;1;1;83;9800.0;1960.0;483.0
Departamento;Roma;2;1;1;80;15050.0;4123.0;654.5
Departamento;Bosques de las Lomas;3;1;2;250;48650.0;8750.0;0.0
Departamento;Lomas de Chapultepec;3;2;1;147;26250.0;3598.0;864.5
